id,name,category_id:id,is_project_specific
cpm_doc.doc_1,Document 1,cpm_doc_cat.qc,False
cpm_doc.doc_2,Document 2,cpm_doc_cat.qc,False
cpm_doc.doc_3,Document 3,cpm_doc_cat.financial_reps,False
cpm_doc.doc_4,Document 4,cpm_doc_cat.qc,False
cpm_doc.doc_5,Document 5,cpm_doc_cat.safety_reg,False
cpm_doc.doc_6,Document 6,cpm_doc_cat.qc,False
cpm_doc.doc_7,Document 7,cpm_doc_cat.safety_reg,False
cpm_doc.doc_8,Document 8,cpm_doc_cat.financial_reps,False
cpm_doc.doc_9,Document 9,cpm_doc_cat.safety_reg,False
cpm_doc.doc_10,Document 10,cpm_doc_cat.bluprt,False
cpm_doc.doc_11,Document 11,cpm_doc_cat.safety_reg,False
cpm_doc.doc_12,Document 12,cpm_doc_cat.financial_reps,False
cpm_doc.doc_13,Document 13,cpm_doc_cat.tech_doc,False
cpm_doc.doc_14,Document 14,cpm_doc_cat.financial_reps,False
cpm_doc.doc_15,Document 15,cpm_doc_cat.contract,False
cpm_doc.doc_16,Document 16,cpm_doc_cat.design,False
cpm_doc.doc_17,Document 17,cpm_doc_cat.tech_doc,False
cpm_doc.doc_18,Document 18,cpm_doc_cat.qc,False
cpm_doc.doc_19,Document 19,cpm_doc_cat.tech_doc,False
cpm_doc.doc_20,Document 20,cpm_doc_cat.qc,False
cpm_doc.doc_21,Document 21,cpm_doc_cat.safety_reg,False
cpm_doc.doc_22,Document 22,cpm_doc_cat.safety_reg,False
cpm_doc.doc_23,Document 23,cpm_doc_cat.financial_reps,False
cpm_doc.doc_24,Document 24,cpm_doc_cat.bluprt,False
cpm_doc.doc_25,Document 25,cpm_doc_cat.bluprt,False
cpm_doc.doc_26,Document 26,cpm_doc_cat.safety_reg,False
cpm_doc.doc_27,Document 27,cpm_doc_cat.design,False
cpm_doc.doc_28,Document 28,cpm_doc_cat.bluprt,False
cpm_doc.doc_29,Document 29,cpm_doc_cat.design,False
cpm_doc.doc_30,Document 30,cpm_doc_cat.bluprt,False
